origin,destination,total_time_in_train,number_of_trains,total_distance_m,cycling_distance_m,total_cycling_time,total_walking_time,calories_burnt_walking,calories_burnt_cycling,walking_time_h,cycling_time_h
Acton Town tube station,Barons Court tube station,15.55,1,5337,5948,21.216666666666665,70.80952380952381,289.1388888888889,173.26944444444445,1.1801587301587302,0.3536111111111111
Acton Town tube station,Chiswick Park tube station,11.129999999999999,1,1436,1393,3.6166666666666667,16.583333333333336,67.71527777777779,29.53611111111111,0.2763888888888889,0.06027777777777778
Acton Town tube station,Ealing Broadway tube station,13.8,1,2693,2448,10.5,29.142857142857146,119.00000000000001,85.75,0.48571428571428577,0.175
Acton Town tube station,Ealing Common tube station,9.45,1,1099,1313,4.666666666666667,15.630952380952381,63.82638888888889,38.111111111111114,0.26051587301587303,0.07777777777777778
Acton Town tube station,East Acton tube station,36.620000000000005,2,7259,3276,11.683333333333334,39.0,159.25,95.41388888888889,0.65,0.1947222222222222
Acton Town tube station,Goldhawk Road tube station,24.45,2,5707,4460,14.616666666666667,53.095238095238095,216.80555555555554,119.36944444444444,0.8849206349206349,0.2436111111111111
Acton Town tube station,Gunnersbury tube station,22.33,1,2251,2347,8.883333333333333,27.940476190476193,114.0902777777778,72.54722222222222,0.46567460317460324,0.14805555555555555
Acton Town tube station,Hammersmith tube station,14.63,1,4765,4751,16.816666666666666,56.55952380952382,230.9513888888889,137.3361111111111,0.9426587301587303,0.2802777777777778
Acton Town tube station,Hanger Lane tube station,25.52,1,3976,3763,14.916666666666666,44.79761904761905,182.92361111111111,121.81944444444443,0.7466269841269841,0.2486111111111111
Acton Town tube station,Harlesden tube station,40.57,2,6494,5703,21.633333333333333,67.89285714285715,277.22916666666674,176.67222222222222,1.1315476190476192,0.3605555555555556
Acton Town tube station,Kensal Green tube station,44.28,1,7881,6441,25.3,76.67857142857143,313.1041666666667,206.61666666666667,1.2779761904761906,0.4216666666666667
Acton Town tube station,Kew Gardens tube station,25.73,1,3935,3987,13.7,47.464285714285715,193.8125,111.88333333333334,0.7910714285714285,0.22833333333333333
Acton Town tube station,Latimer Road tube station,30.0,2,7313,5974,19.566666666666666,71.11904761904763,290.4027777777778,159.79444444444445,1.1853174603174605,0.32611111111111113
Acton Town tube station,North Acton tube station,34.68,2,6045,3222,12.9,38.35714285714286,156.62500000000003,105.35,0.6392857142857143,0.215
Acton Town tube station,North Ealing tube station,11.45,1,1970,2407,9.816666666666666,28.65476190476191,117.00694444444446,80.16944444444444,0.47757936507936516,0.1636111111111111
Acton Town tube station,Northfields tube station,15.47,1,2739,2788,9.55,33.19047619047619,135.5277777777778,77.99166666666667,0.5531746031746032,0.15916666666666668
Acton Town tube station,Park Royal tube station,14.95,1,3171,3881,14.933333333333334,46.202380952380956,188.65972222222223,121.95555555555555,0.7700396825396826,0.24888888888888888
Acton Town tube station,Ravenscourt Park tube station,17.3,1,3802,3845,12.35,45.773809523809526,186.90972222222223,100.85833333333333,0.7628968253968255,0.20583333333333334
Acton Town tube station,Shepherd's Bush tube station,41.9,2,10323,4805,16.416666666666668,57.202380952380956,233.5763888888889,134.06944444444446,0.9533730158730159,0.27361111111111114
Acton Town tube station,Shepherd's Bush Market tube station,25.52,2,6147,4219,13.366666666666667,50.22619047619048,205.0902777777778,109.16111111111113,0.8371031746031747,0.2227777777777778
Acton Town tube station,South Ealing tube station,12.62,1,2255,2288,7.8,27.23809523809524,111.22222222222223,63.7,0.453968253968254,0.13
Acton Town tube station,Stamford Brook tube station,14.33,1,2978,3418,11.5,40.69047619047619,166.1527777777778,93.91666666666667,0.6781746031746032,0.19166666666666668
Acton Town tube station,Stonebridge Park tube station,42.78,2,8041,6689,22.566666666666666,79.63095238095238,325.15972222222223,184.29444444444445,1.3271825396825396,0.3761111111111111
Acton Town tube station,Turnham Green tube station,12.53,1,2355,2265,6.833333333333333,26.964285714285715,110.10416666666667,55.80555555555556,0.4494047619047619,0.11388888888888889
Acton Town tube station,West Acton tube station,23.2,1,2725,1840,6.95,21.90476190476191,89.44444444444447,56.75833333333333,0.36507936507936517,0.11583333333333333
Acton Town tube station,White City tube station,30.82,2,6925,4869,15.183333333333334,57.964285714285715,236.6875,123.9972222222222,0.9660714285714286,0.25305555555555553
Acton Town tube station,Willesden Junction tube station,28.98,1,5449,4766,19.783333333333335,56.73809523809525,231.6805555555556,161.5638888888889,0.9456349206349208,0.32972222222222225
Acton Town tube station,Wood Lane tube station,26.7,2,6643,4916,15.35,58.523809523809526,238.97222222222223,125.35833333333332,0.9753968253968254,0.2558333333333333
Aldgate tube station,Angel tube station,20.8,2,3515,4035,15.983333333333333,48.03571428571429,196.14583333333337,130.53055555555557,0.8005952380952382,0.2663888888888889
Aldgate tube station,Bank tube station,10.83,1,1365,1116,5.45,13.285714285714286,54.25000000000001,44.50833333333333,0.22142857142857145,0.09083333333333334
Aldgate tube station,Barbican tube station,10.2,1,1816,2298,8.316666666666666,27.357142857142858,111.70833333333333,67.91944444444444,0.45595238095238094,0.1386111111111111
Aldgate tube station,Bermondsey tube station,37.519999999999996,2,9643,3480,13.1,41.42857142857143,169.16666666666666,106.98333333333333,0.6904761904761905,0.21833333333333332
Aldgate tube station,Bethnal Green tube station,19.75,1,3067,2382,8.966666666666667,28.357142857142858,115.79166666666666,73.22777777777777,0.4726190476190476,0.14944444444444444
Aldgate tube station,Blackfriars tube station,12.58,1,2512,2257,8.35,26.869047619047624,109.7152777777778,68.19166666666666,0.4478174603174604,0.13916666666666666
Aldgate tube station,Borough tube station,24.77,2,3400,2532,10.316666666666666,30.142857142857146,123.08333333333336,84.25277777777777,0.5023809523809525,0.17194444444444443
Aldgate tube station,Bow Road tube station,19.55,1,3997,3933,13.266666666666667,46.82142857142858,191.18750000000003,108.34444444444445,0.780357142857143,0.22111111111111112
Aldgate tube station,Bromley-by-Bow tube station,20.35,1,4931,5395,19.616666666666667,64.22619047619048,262.2569444444445,160.20277777777778,1.0704365079365081,0.3269444444444444
Aldgate tube station,Caledonian Road tube station,28.58,2,6373,6671,25.016666666666666,79.41666666666667,324.2847222222223,204.30277777777778,1.3236111111111113,0.41694444444444445
Aldgate tube station,Canada Water tube station,28.75,2,3984,5299,19.633333333333333,63.08333333333334,257.5902777777778,160.33888888888887,1.0513888888888892,0.3272222222222222
Aldgate tube station,Canary Wharf tube station,33.230000000000004,2,9334,5551,20.35,66.08333333333334,269.84027777777777,166.19166666666666,1.101388888888889,0.33916666666666667
Aldgate tube station,Cannon Street tube station,9.65,1,1634,1547,6.233333333333333,18.416666666666668,75.2013888888889,50.90555555555556,0.30694444444444446,0.10388888888888889
Aldgate tube station,Chancery Lane tube station,24.1,1,3281,3136,11.466666666666667,37.333333333333336,152.44444444444446,93.64444444444445,0.6222222222222222,0.19111111111111112
Aldgate tube station,Charing Cross tube station,22.07,1,4343,5132,19.083333333333332,61.095238095238095,249.4722222222222,155.8472222222222,1.0182539682539682,0.31805555555555554
Aldgate tube station,Covent Garden tube station,30.05,1,4879,4196,17.433333333333334,49.952380952380956,203.97222222222223,142.37222222222223,0.8325396825396826,0.29055555555555557
Aldgate tube station,Elephant & Castle tube station,28.9,2,4334,3175,14.133333333333333,37.79761904761905,154.3402777777778,115.42222222222222,0.6299603174603176,0.23555555555555555
Aldgate tube station,Embankment tube station,17.35,1,4001,4210,18.75,50.11904761904762,204.65277777777777,153.125,0.8353174603174603,0.3125
Aldgate tube station,Euston tube station,21.9,1,5496,5021,21.266666666666666,59.773809523809526,244.07638888888889,173.67777777777778,0.9962301587301587,0.35444444444444445
Aldgate tube station,Euston Square tube station,15.0,1,5033,5230,19.933333333333334,62.261904761904766,254.23611111111114,162.7888888888889,1.0376984126984128,0.33222222222222225
Aldgate tube station,Farringdon tube station,13.03,1,2533,2848,10.983333333333333,33.904761904761905,138.44444444444443,89.69722222222222,0.5650793650793651,0.18305555555555555
Aldgate tube station,Goodge Street tube station,25.6,1,5711,4812,18.75,57.28571428571429,233.91666666666669,153.125,0.9547619047619048,0.3125
Aldgate tube station,Great Portland Street tube station,17.0,1,5625,5872,22.3,69.90476190476191,285.44444444444446,182.11666666666667,1.1650793650793652,0.3716666666666667
Aldgate tube station,Green Park tube station,37.0,2,9929,6232,24.05,74.19047619047619,302.94444444444446,196.40833333333333,1.2365079365079366,0.4008333333333333
Aldgate tube station,Highbury & Islington tube station,29.53,2,6959,5679,21.183333333333334,67.60714285714286,276.0625,172.99722222222223,1.1267857142857143,0.35305555555555557
Aldgate tube station,Holborn tube station,24.12,1,3860,3546,13.1,42.214285714285715,172.375,106.98333333333333,0.7035714285714286,0.21833333333333332
Aldgate tube station,Holloway Road tube station,32.120000000000005,2,7023,6502,24.4,77.40476190476191,316.06944444444446,199.26666666666665,1.2900793650793652,0.4066666666666666
Aldgate tube station,Kennington tube station,30.62,2,5175,4178,16.866666666666667,49.73809523809525,203.09722222222226,137.74444444444447,0.8289682539682541,0.28111111111111114
Aldgate tube station,King's Cross St Pancras tube station,18.98,1,4450,4852,18.383333333333333,57.761904761904766,235.86111111111111,150.13055555555556,0.9626984126984127,0.3063888888888889
Aldgate tube station,Lambeth North tube station,33.22,2,5345,3734,17.466666666666665,44.452380952380956,181.51388888888889,142.64444444444445,0.7408730158730159,0.2911111111111111
Aldgate tube station,Leicester Square tube station,27.72,1,4722,4598,16.933333333333334,54.73809523809525,223.51388888888894,138.2888888888889,0.9123015873015875,0.2822222222222222
Aldgate tube station,Liverpool Street tube station,9.219999999999999,1,753,792,3.2333333333333334,9.428571428571429,38.5,26.405555555555555,0.15714285714285714,0.05388888888888889
Aldgate tube station,London Bridge tube station,19.27,1,2001,1795,7.583333333333333,21.369047619047624,87.25694444444446,61.93055555555555,0.3561507936507937,0.12638888888888888
Aldgate tube station,Mansion House tube station,11.2,1,2028,1524,6.283333333333333,18.142857142857146,74.08333333333334,51.31388888888888,0.3023809523809524,0.10472222222222222
Aldgate tube station,Mile End tube station,16.82,1,3397,3250,11.033333333333333,38.69047619047619,157.98611111111111,90.10555555555555,0.6448412698412699,0.18388888888888888
Aldgate tube station,Monument tube station,10.83,1,1365,1116,5.45,13.285714285714286,54.25000000000001,44.50833333333333,0.22142857142857145,0.09083333333333334
Aldgate tube station,Moorgate tube station,9.45,1,1139,1264,5.633333333333334,15.047619047619047,61.44444444444444,46.00555555555556,0.2507936507936508,0.0938888888888889
Aldgate tube station,Mornington Crescent tube station,37.9,2,7777,5856,22.666666666666668,69.71428571428572,284.6666666666667,185.11111111111114,1.161904761904762,0.3777777777777778
Aldgate tube station,Old Street tube station,20.42,1,1919,2361,9.3,28.107142857142858,114.77083333333333,75.95,0.46845238095238095,0.155
Aldgate tube station,Oval tube station,32.9,2,6009,4905,19.383333333333333,58.392857142857146,238.43750000000003,158.29722222222222,0.9732142857142858,0.32305555555555554
Aldgate tube station,Oxford Circus tube station,27.25,1,5347,5051,19.366666666666667,60.13095238095239,245.53472222222223,158.1611111111111,1.0021825396825397,0.3227777777777778
Aldgate tube station,Piccadilly Circus tube station,29.0,2,4986,5114,19.316666666666666,60.88095238095239,248.59722222222226,157.75277777777777,1.0146825396825399,0.3219444444444444
Aldgate tube station,Pimlico tube station,37.58,2,7473,5941,23.683333333333334,70.72619047619047,288.7986111111111,193.4138888888889,1.178769841269841,0.39472222222222225
Aldgate tube station,Regent's Park tube station,20.13,1,5780,6206,24.883333333333333,73.88095238095238,301.6805555555556,203.21388888888887,1.2313492063492064,0.4147222222222222
Aldgate tube station,Russell Square tube station,30.17,1,6070,4219,16.283333333333335,50.22619047619048,205.0902777777778,132.98055555555555,0.8371031746031747,0.2713888888888889
Aldgate tube station,St James's Park tube station,18.98,1,5283,5477,22.366666666666667,65.20238095238095,266.24305555555554,182.6611111111111,1.0867063492063491,0.37277777777777776
Aldgate tube station,St Paul's tube station,18.3,1,2384,1863,7.083333333333333,22.17857142857143,90.5625,57.84722222222222,0.36964285714285716,0.11805555555555555
Aldgate tube station,Southwark tube station,33.8,2,6313,2889,13.333333333333334,34.392857142857146,140.43750000000003,108.8888888888889,0.5732142857142858,0.22222222222222224
Aldgate tube station,Stepney Green tube station,13.88,1,2276,2246,7.933333333333334,26.73809523809524,109.18055555555556,64.78888888888889,0.44563492063492066,0.1322222222222222
Aldgate tube station,Temple tube station,14.4,1,3288,3161,14.216666666666667,37.63095238095239,153.65972222222226,116.10277777777779,0.6271825396825398,0.23694444444444446
Aldgate tube station,Tottenham Court Road tube station,25.23,1,4538,4225,16.133333333333333,50.29761904761905,205.38194444444446,131.75555555555556,0.8382936507936508,0.2688888888888889
Aldgate tube station,Tower Hill tube station,8.35,1,708,1071,4.116666666666666,12.75,52.0625,33.61944444444444,0.2125,0.06861111111111111
Aldgate tube station,Vauxhall tube station,35.15,2,8218,5500,21.383333333333333,65.47619047619048,267.36111111111114,174.63055555555553,1.0912698412698414,0.35638888888888887
Aldgate tube station,Warren Street tube station,20.1,1,5308,5296,20.366666666666667,63.04761904761905,257.44444444444446,166.32777777777778,1.0507936507936508,0.33944444444444444
Aldgate tube station,Waterloo tube station,31.07,2,4881,3873,16.466666666666665,46.10714285714286,188.27083333333334,134.47777777777776,0.768452380952381,0.27444444444444444
Aldgate tube station,Westminster tube station,18.65,1,4714,4666,19.266666666666666,55.54761904761905,226.81944444444446,157.34444444444443,0.9257936507936508,0.32111111111111107
Aldgate tube station,Whitechapel tube station,15.3,1,1480,1461,6.033333333333333,17.392857142857146,71.02083333333334,49.27222222222222,0.2898809523809524,0.10055555555555555
Aldgate East tube station,Angel tube station,27.68,2,3905,4344,17.433333333333334,51.714285714285715,211.16666666666669,142.37222222222223,0.861904761904762,0.29055555555555557
Aldgate East tube station,Bank tube station,12.72,1,1755,1342,5.866666666666666,15.976190476190478,65.23611111111113,47.911111111111104,0.2662698412698413,0.09777777777777777
Aldgate East tube station,Barbican tube station,16.32,1,2260,2607,9.766666666666667,31.03571428571429,126.72916666666669,79.76111111111112,0.5172619047619048,0.1627777777777778
Aldgate East tube station,Bermondsey tube station,39.4,2,10033,3706,13.516666666666667,44.11904761904762,180.1527777777778,110.38611111111112,0.7353174603174604,0.2252777777777778
Aldgate East tube station,Bethnal Green tube station,23.77,1,3357,2063,7.433333333333334,24.55952380952381,100.28472222222221,60.705555555555556,0.4093253968253968,0.1238888888888889
Aldgate East tube station,Blackfriars tube station,14.47,1,2902,2483,8.766666666666667,29.55952380952381,120.7013888888889,71.59444444444446,0.4926587301587302,0.14611111111111114
Aldgate East tube station,Borough tube station,29.65,2,3516,2758,10.733333333333333,32.833333333333336,134.06944444444446,87.65555555555555,0.5472222222222223,0.17888888888888888
Aldgate East tube station,Bow Road tube station,15.13,1,3701,3614,11.733333333333333,43.023809523809526,175.68055555555554,95.82222222222221,0.7170634920634921,0.19555555555555554
Aldgate East tube station,Bromley-by-Bow tube station,15.73,1,4635,5077,18.083333333333332,60.44047619047619,246.79861111111111,147.68055555555554,1.0073412698412698,0.3013888888888889
Aldgate East tube station,Caledonian Road tube station,36.47,2,6806,6980,26.466666666666665,83.0952380952381,339.3055555555556,216.14444444444442,1.384920634920635,0.44111111111111106
Aldgate East tube station,Canada Water tube station,25.88,2,3688,5525,20.05,65.77380952380953,268.5763888888889,163.74166666666667,1.0962301587301588,0.33416666666666667
Aldgate East tube station,Canary Wharf tube station,29.12,2,4963,5588,20.716666666666665,66.52380952380953,271.6388888888889,169.1861111111111,1.1087301587301588,0.34527777777777774
Aldgate East tube station,Cannon Street tube station,11.530000000000001,1,2024,1773,6.65,21.107142857142858,86.1875,54.30833333333334,0.3517857142857143,0.11083333333333334
Aldgate East tube station,Chancery Lane tube station,26.82,1,4384,3445,12.916666666666666,41.011904761904766,167.4652777777778,105.4861111111111,0.6835317460317462,0.21527777777777776
Aldgate East tube station,Charing Cross tube station,23.95,1,4733,4527,18.083333333333332,53.892857142857146,220.0625,147.68055555555554,0.8982142857142857,0.3013888888888889
Aldgate East tube station,Covent Garden tube station,31.93,1,5269,4505,18.883333333333333,53.63095238095239,218.99305555555557,154.2138888888889,0.8938492063492064,0.31472222222222224
Aldgate East tube station,Elephant & Castle tube station,33.78,2,4449,3401,14.55,40.488095238095234,165.32638888888889,118.82500000000002,0.6748015873015872,0.24250000000000002
Aldgate East tube station,Embankment tube station,19.23,1,4391,4436,19.166666666666668,52.80952380952382,215.6388888888889,156.5277777777778,0.8801587301587303,0.3194444444444445
Aldgate East tube station,Euston tube station,27.78,1,5936,5330,22.716666666666665,63.452380952380956,259.09722222222223,185.51944444444442,1.0575396825396826,0.37861111111111106
Aldgate East tube station,Euston Square tube station,20.88,1,5473,5539,21.383333333333333,65.94047619047619,269.25694444444446,174.63055555555553,1.0990079365079366,0.35638888888888887
Aldgate East tube station,Farringdon tube station,19.33,1,2973,3157,12.433333333333334,37.583333333333336,153.46527777777777,101.53888888888889,0.6263888888888889,0.20722222222222222
Aldgate East tube station,Goodge Street tube station,31.48,1,6151,5121,20.2,60.964285714285715,248.9375,164.96666666666667,1.0160714285714285,0.33666666666666667
Aldgate East tube station,Highbury & Islington tube station,36.42,2,7398,5988,22.633333333333333,71.28571428571429,291.0833333333333,184.8388888888889,1.188095238095238,0.37722222222222224
Aldgate East tube station,Holborn tube station,28.2,1,4150,3855,14.55,45.892857142857146,187.39583333333334,118.82500000000002,0.7648809523809524,0.24250000000000002
Aldgate East tube station,Holloway Road tube station,39.0,2,7456,6811,25.85,81.08333333333333,331.09027777777777,211.10833333333335,1.3513888888888888,0.43083333333333335
Aldgate East tube station,Kennington tube station,33.5,2,5290,4404,17.283333333333335,52.42857142857143,214.08333333333334,141.14722222222224,0.8738095238095238,0.28805555555555556
Aldgate East tube station,King's Cross St Pancras tube station,25.87,1,4889,5161,19.833333333333332,61.44047619047619,250.88194444444443,161.97222222222223,1.0240079365079364,0.33055555555555555
Aldgate East tube station,Lambeth North tube station,33.1,2,5735,3960,17.883333333333333,47.142857142857146,192.50000000000003,146.04722222222222,0.7857142857142858,0.2980555555555556
Aldgate East tube station,Leicester Square tube station,29.6,1,5112,4907,18.383333333333333,58.416666666666664,238.53472222222223,150.13055555555556,0.9736111111111111,0.3063888888888889
Aldgate East tube station,Liverpool Street tube station,15.1,1,1201,1102,4.683333333333334,13.11904761904762,53.56944444444445,38.24722222222223,0.21865079365079368,0.07805555555555556
Aldgate East tube station,London Bridge tube station,21.15,1,2391,2021,8.0,24.05952380952381,98.24305555555556,65.33333333333333,0.4009920634920635,0.13333333333333333
Aldgate East tube station,Mansion House tube station,13.08,1,2418,1750,6.7,20.833333333333332,85.06944444444444,54.71666666666667,0.3472222222222222,0.11166666666666666
Aldgate East tube station,Mile End tube station,12.52,1,3101,2932,9.5,34.904761904761905,142.5277777777778,77.58333333333333,0.5817460317460318,0.15833333333333333
Aldgate East tube station,Monument tube station,12.72,1,1755,1342,5.866666666666666,15.976190476190478,65.23611111111113,47.911111111111104,0.2662698412698413,0.09777777777777777
Aldgate East tube station,Moorgate tube station,15.33,1,1587,1574,7.083333333333333,18.73809523809524,76.5138888888889,57.84722222222222,0.31230158730158736,0.11805555555555555
Aldgate East tube station,Old Street tube station,26.3,1,2367,2073,8.616666666666667,24.67857142857143,100.77083333333334,70.36944444444444,0.41130952380952385,0.1436111111111111
Aldgate East tube station,Oval tube station,35.78,2,6125,5131,19.8,61.08333333333334,249.42361111111114,161.70000000000002,1.0180555555555557,0.33
Aldgate East tube station,Oxford Circus tube station,31.33,1,5637,5360,20.816666666666666,63.80952380952382,260.5555555555556,170.00277777777777,1.0634920634920637,0.34694444444444444
Aldgate East tube station,Piccadilly Circus tube station,31.88,2,5376,5423,20.766666666666666,64.55952380952381,263.61805555555554,169.59444444444443,1.0759920634920634,0.3461111111111111
Aldgate East tube station,Russell Square tube station,36.05,1,6510,4528,17.733333333333334,53.90476190476191,220.11111111111114,144.82222222222222,0.8984126984126986,0.29555555555555557
Aldgate East tube station,St James's Park tube station,20.87,1,5673,5703,22.783333333333335,67.89285714285715,277.22916666666674,186.0638888888889,1.1315476190476192,0.37972222222222224
Aldgate East tube station,St Paul's tube station,20.5,1,2832,2172,8.533333333333333,25.857142857142858,105.58333333333334,69.68888888888888,0.430952380952381,0.14222222222222222
Aldgate East tube station,Southwark tube station,35.68,2,6703,3115,13.75,37.083333333333336,151.42361111111111,112.29166666666666,0.6180555555555556,0.22916666666666666
Aldgate East tube station,Stepney Green tube station,9.8,1,1980,1927,6.4,22.940476190476193,93.67361111111111,52.26666666666667,0.38234126984126987,0.10666666666666667
Aldgate East tube station,Temple tube station,16.28,1,3678,3387,14.633333333333333,40.32142857142857,164.64583333333331,119.50555555555555,0.6720238095238095,0.24388888888888888
Aldgate East tube station,Tottenham Court Road tube station,29.32,1,4828,4534,17.583333333333332,53.97619047619048,220.4027777777778,143.5972222222222,0.8996031746031747,0.2930555555555555
Aldgate East tube station,Tower Hill tube station,10.23,1,1098,1108,4.483333333333333,13.190476190476192,53.861111111111114,36.61388888888889,0.21984126984126987,0.07472222222222222
Aldgate East tube station,Vauxhall tube station,36.629999999999995,2,8608,5726,21.8,68.16666666666667,278.3472222222223,178.03333333333333,1.1361111111111113,0.36333333333333334
Aldgate East tube station,Warren Street tube station,25.98,1,5748,5605,21.816666666666666,66.72619047619048,272.46527777777777,178.16944444444445,1.1121031746031746,0.3636111111111111
Aldgate East tube station,Waterloo tube station,33.47,2,6275,4099,16.883333333333333,48.79761904761905,199.25694444444446,137.88055555555553,0.8132936507936509,0.28138888888888886
Aldgate East tube station,Westminster tube station,20.53,1,5104,4892,19.683333333333334,58.23809523809525,237.8055555555556,160.7472222222222,0.9706349206349209,0.32805555555555554
Aldgate East tube station,Whitechapel tube station,11.43,1,1184,1142,4.5,13.595238095238097,55.51388888888889,36.75,0.22658730158730161,0.075
Angel tube station,Archway tube station,29.52,2,6863,5766,21.416666666666668,68.64285714285714,280.29166666666663,174.90277777777777,1.144047619047619,0.35694444444444445
Angel tube station,Arsenal tube station,26.93,2,5107,3250,10.05,38.69047619047619,157.98611111111111,82.075,0.6448412698412699,0.1675
Angel tube station,Baker Street tube station,30.88,2,4383,6159,25.1,73.32142857142858,299.39583333333337,204.98333333333332,1.2220238095238096,0.41833333333333333
Angel tube station,Bank tube station,12.77,1,3249,3571,12.216666666666667,42.511904761904766,173.5902777777778,99.76944444444445,0.7085317460317461,0.2036111111111111
Angel tube station,Barbican tube station,23.72,1,3339,2227,7.366666666666666,26.511904761904763,108.25694444444446,60.16111111111111,0.4418650793650794,0.12277777777777778
Angel tube station,Belsize Park tube station,17.08,1,5713,5560,23.816666666666666,66.19047619047619,270.27777777777777,194.50277777777777,1.1031746031746033,0.39694444444444443
Angel tube station,Bermondsey tube station,28.52,2,6270,6145,22.133333333333333,73.15476190476191,298.7152777777778,180.75555555555556,1.2192460317460319,0.3688888888888889
Angel tube station,Bethnal Green tube station,25.67,2,6035,4815,17.933333333333334,57.32142857142858,234.0625,146.45555555555555,0.9553571428571429,0.29888888888888887
Angel tube station,Blackfriars tube station,31.57,2,4700,2656,9.15,31.619047619047624,129.11111111111114,74.725,0.5269841269841271,0.1525
Angel tube station,Bond Street tube station,33.25,2,7486,4097,17.6,48.773809523809526,199.15972222222223,143.73333333333332,0.8128968253968254,0.29333333333333333
Angel tube station,Borough tube station,16.77,1,4558,4586,17.133333333333333,54.595238095238095,222.93055555555554,139.92222222222222,0.9099206349206349,0.28555555555555556
Angel tube station,Caledonian Road tube station,23.78,2,3709,2632,9.0,31.333333333333336,127.94444444444446,73.5,0.5222222222222223,0.15
Angel tube station,Camden Town tube station,12.78,1,3808,3856,17.733333333333334,45.90476190476191,187.44444444444449,144.82222222222222,0.7650793650793652,0.29555555555555557
Angel tube station,Cannon Street tube station,16.25,1,3512,3410,11.9,40.595238095238095,165.76388888888889,97.18333333333334,0.6765873015873016,0.19833333333333333
Angel tube station,Chalk Farm tube station,13.2,1,4656,4949,18.766666666666666,58.916666666666664,240.57638888888889,153.2611111111111,0.9819444444444444,0.31277777777777777
Angel tube station,Chancery Lane tube station,30.37,2,5165,2296,9.033333333333333,27.333333333333332,111.61111111111111,73.77222222222223,0.45555555555555555,0.15055555555555555
Angel tube station,Charing Cross tube station,29.6,2,5051,3945,16.35,46.964285714285715,191.77083333333334,133.525,0.7827380952380952,0.2725
Angel tube station,Covent Garden tube station,27.48,2,3913,3009,14.7,35.82142857142857,146.27083333333334,120.05,0.5970238095238095,0.245
Angel tube station,Edgware Road tube station,32.019999999999996,2,5059,6133,27.883333333333333,73.01190476190477,298.13194444444446,227.71388888888887,1.2168650793650795,0.4647222222222222
Angel tube station,Elephant & Castle tube station,20.9,1,5492,4998,20.983333333333334,59.5,242.95833333333334,171.36388888888888,0.9916666666666667,0.3497222222222222
Angel tube station,Embankment tube station,28.67,2,5063,4429,17.033333333333335,52.72619047619048,215.29861111111114,139.10555555555555,0.8787698412698414,0.2838888888888889
Angel tube station,Euston tube station,10.620000000000001,1,2025,3016,14.416666666666666,35.904761904761905,146.61111111111111,117.7361111111111,0.5984126984126984,0.24027777777777776
Angel tube station,Euston Square tube station,16.95,1,2516,3225,13.083333333333334,38.392857142857146,156.77083333333334,106.84722222222223,0.6398809523809524,0.21805555555555556
Angel tube station,Farringdon tube station,26.03,2,3959,1683,5.8,20.035714285714285,81.8125,47.36666666666667,0.3339285714285714,0.09666666666666666
Angel tube station,Finsbury Park tube station,28.28,2,7306,4082,13.5,48.595238095238095,198.43055555555557,110.25,0.8099206349206349,0.225
Angel tube station,Goodge Street tube station,24.93,1,3074,3369,15.166666666666666,40.10714285714286,163.77083333333334,123.8611111111111,0.668452380952381,0.25277777777777777
Angel tube station,Great Portland Street tube station,23.92,1,3000,4429,18.716666666666665,52.72619047619048,215.29861111111114,152.85277777777776,0.8787698412698414,0.3119444444444444
Angel tube station,Green Park tube station,26.33,2,4925,4789,20.466666666666665,57.011904761904766,232.79861111111111,167.14444444444445,0.9501984126984128,0.3411111111111111
Angel tube station,Highbury & Islington tube station,26.73,2,5423,1640,5.166666666666667,19.523809523809526,79.72222222222223,42.19444444444444,0.3253968253968254,0.08611111111111111
Angel tube station,Holborn tube station,28.22,2,5406,2293,9.833333333333334,27.297619047619047,111.46527777777777,80.30555555555556,0.45496031746031745,0.1638888888888889
Angel tube station,Holloway Road tube station,27.32,2,4359,2463,8.383333333333333,29.321428571428573,119.72916666666667,68.46388888888889,0.48869047619047623,0.13972222222222222
Angel tube station,Hyde Park Corner tube station,34.8,2,6377,7110,28.05,84.64285714285714,345.62499999999994,229.07500000000002,1.4107142857142856,0.4675
Angel tube station,Kennington tube station,20.62,1,6333,5948,23.25,70.80952380952381,289.1388888888889,189.875,1.1801587301587302,0.3875
Angel tube station,Kentish Town tube station,26.9,2,5162,4469,16.166666666666668,53.202380952380956,217.24305555555557,132.0277777777778,0.8867063492063493,0.2694444444444445
Angel tube station,King's Cross St Pancras tube station,8.469999999999999,1,1519,2113,6.966666666666667,25.15476190476191,102.7152777777778,56.894444444444446,0.4192460317460318,0.11611111111111111
Angel tube station,Lambeth North tube station,30.23,2,6516,4426,18.316666666666666,52.69047619047619,215.15277777777777,149.5861111111111,0.8781746031746032,0.30527777777777776
Angel tube station,Leicester Square tube station,29.17,2,4342,3411,14.2,40.60714285714286,165.8125,115.96666666666667,0.6767857142857143,0.23666666666666666
Angel tube station,Liverpool Street tube station,17.9,1,2879,3436,11.133333333333333,40.904761904761905,167.02777777777777,90.92222222222222,0.6817460317460318,0.18555555555555556
Angel tube station,London Bridge tube station,16.77,1,4113,4459,16.616666666666667,53.083333333333336,216.75694444444446,135.70277777777778,0.8847222222222223,0.27694444444444444
Angel tube station,Manor House tube station,31.3,2,6774,5118,17.65,60.92857142857143,248.79166666666666,144.14166666666665,1.0154761904761904,0.29416666666666663
